Sample,Cell,Mother,MotherSize,BirthTime,Sb,GrowthRate,DivPar
0,0,0,nan,0.000,1.09476995,0.69314718,0.5
1,1,1,nan,0.000,1.06560864,0.69314718,0.5
2,2,2,nan,0.000,1.17626263,0.69314718,0.5
3,3,3,nan,0.000,1.20636336,0.69314718,0.5
4,4,4,nan,0.000,0.94765335,0.69314718,0.5
5,5,5,nan,0.000,0.81131653,0.69314718,0.5
6,6,6,nan,0.000,1.0647316,0.69314718,0.5
7,7,7,nan,0.000,0.9602806,0.69314718,0.5
8,8,8,nan,0.000,0.91044219,0.69314718,0.5
9,9,9,nan,0.000,1.18304619,0.69314718,0.5
10,10,10,nan,0.000,1.01182678,0.69314718,0.5
11,11,11,nan,0.000,1.08812591,0.69314718,0.5
12,12,12,nan,0.000,1.00137894,0.69314718,0.5
13,13,13,nan,0.000,0.93020598,0.69314718,0.5
14,14,14,nan,0.000,0.95684307,0.69314718,0.5
15,15,15,nan,0.000,0.84564923,0.69314718,0.5
16,16,16,nan,0.000,1.04496338,0.69314718,0.5
17,17,17,nan,0.000,0.97161651,0.69314718,0.5
18,18,18,nan,0.000,0.96087734,0.69314718,0.5
19,19,19,nan,0.000,1.06608243,0.69314718,0.5
20,20,20,nan,0.000,1.11607278,0.69314718,0.5
21,21,21,nan,0.000,1.10512398,0.69314718,0.5
22,22,22,nan,0.000,1.05288823,0.69314718,0.5
23,23,23,nan,0.000,0.96979369,0.69314718,0.5
24,24,24,nan,0.000,0.84374315,0.69314718,0.5
25,25,25,nan,0.000,0.87327333,0.69314718,0.5
26,26,26,nan,0.000,1.04041075,0.69314718,0.5
27,27,27,nan,0.000,0.9959266,0.69314718,0.5
28,28,28,nan,0.000,0.89016017,0.69314718,0.5
29,29,29,nan,0.000,1.17864326,0.69314718,0.5
30,30,30,nan,0.000,1.06336857,0.69314718,0.5
31,31,31,nan,0.000,0.91928738,0.69314718,0.5
32,32,32,nan,0.000,0.89511971,0.69314718,0.5
33,33,33,nan,0.000,1.02650546,0.69314718,0.5
