Time,MeanN,ErrorMn,CV2N,ErrorCV2
0.0,,,0.0,
0.01,1.006,0.004794691324896627,0.005893070997474401,0.0005980354458117231
0.02,1.014,0.007294479550118638,0.013425455846939686,0.0014278116496801577
0.03,1.02,0.008692003078413446,0.018838908112264508,0.0020537174370868004
0.04,1.028,0.010242453097959014,0.025753607170434074,0.002882013045596013
0.05,1.034,0.011251744388269813,0.03071955823097846,0.003494327134352107
0.06,1.042,0.012759487370888056,0.0388997977461032,0.004531216451323365
0.07,1.048,0.013840524639167073,0.0452479459238972,0.005357942352744072
0.08,1.055,0.014688886900060982,0.05029087396958739,0.006027374781120967
0.09,1.06,0.01525844600158921,0.0537557849768601,0.006493505154036724
0.0999999999999999,1.067,0.016011741665597157,0.05842041512917561,0.007128645620152834
0.1099999999999999,1.076,0.016914688855059756,0.06410911955335054,0.007914578131627634
0.1199999999999999,1.084,0.01788069204702203,0.07058727413842404,0.008824095598112543
0.1299999999999999,1.087,0.018146780276396823,0.07230301404319174,0.009067481642426206
0.1399999999999999,1.089,0.018320973743034097,0.07342731935769752,0.00922752519896438
0.15,1.097,0.018993669623679654,0.07777156394874893,0.009849988789829794
0.16,1.107,0.020360998043067013,0.08776456629366053,0.011305554278554033
0.17,1.117,0.021624293494038938,0.09722855615461863,0.012713146423431925
0.18,1.123,0.022201272455695698,0.10139406833083689,0.01334127367509242
0.19,1.128,0.02252403428321692,0.10344047080126757,0.013651726624283357
0.2,1.132,0.022944522834202674,0.10658142816117075,0.014130592841317766
0.21,1.144,0.023663056198839127,0.11099564770893443,0.014808340904490312
0.22,1.154,0.024544212078990046,0.11735535204202702,0.015794372638330036
0.23,1.165,0.025278503159672283,0.1221426071579878,0.016543898740511653
0.24,1.17,0.025830949461750574,0.12645189568266496,0.017223833423112844
0.25,1.178,0.026363858264388806,0.12994024576200347,0.017777814191048267
0.26,1.185,0.026687840982729805,0.1315850380102904,0.01804011824220093
0.2700000000000001,1.193,0.027328375232174018,0.13613289030942582,0.018769002170029324
0.2800000000000001,1.2,0.027765585348528354,0.13888888888888892,0.01921325961701706
0.2900000000000001,1.215,0.028638623194629398,0.14413453233755014,0.020064084042714467
0.3000000000000001,1.222,0.0290356874672546,0.14646644576651197,0.020444493221998726
0.3100000000000001,1.231,0.029751896824508295,0.15154078797065515,0.02127685197177684
0.3200000000000001,1.237,0.029957960064446176,0.15216031693231263,0.021378900382018336
0.3300000000000001,1.246,0.030509565048529197,0.15554364657111422,0.021937816905346193
0.3400000000000001,1.252,0.03119744925871748,0.16108156661801182,0.02285850318589481
0.3500000000000001,1.259,0.03153069212120685,0.16271660564980595,0.023131700881937913
0.3600000000000001,1.269,0.032059273146147094,0.16557715940711434,0.023611156201104794
0.3700000000000001,1.284,0.03293143568065138,0.17065051775506837,0.024466107973855695
0.3800000000000001,1.291,0.03322132271999889,0.17178992260666556,0.024658921542354308
0.3900000000000002,1.296,0.033571336980687594,0.174077884468831,0.025046980084256924
0.4000000000000002,1.305,0.03411751025427989,0.17731683328195422,0.025598336507408906
0.4100000000000002,1.318,0.03461668159375253,0.17896016634391101,0.025878967334012
0.4200000000000002,1.334,0.035035504133048345,0.17894575950405606,0.025876504493233532
0.4300000000000002,1.341,0.03516043021327664,0.17834754412686335,0.02577428041127864
0.4400000000000002,1.35,0.03563851055750278,0.18079561042524006,0.02619310963429055
0.4500000000000002,1.362,0.036252754034929335,0.18379941392225735,0.02670881546156452
0.4600000000000002,1.366,0.036310549733747255,0.18330764498198238,0.026624251460505424
0.4700000000000002,1.383,0.037370817270442114,0.18942494048954117,0.027679905994715842
0.4800000000000002,1.394,0.03780424901989865,0.1907972063094756,0.02791782386240111
0.4900000000000002,1.407,0.038340191748772234,0.19263566420107808,0.028237199105836122
0.5000000000000002,1.416,0.03872000225455108,0.1939816144785981,0.028471472654717903
0.5100000000000002,1.428,0.03940444292116885,0.19753783866487773,0.029092307454508227
0.5200000000000002,1.44,0.03996701459997465,0.19984567901234568,0.02949662684523897
0.5300000000000002,1.445,0.040282831394403695,0.20161396535003176,0.02980717307370382
0.5400000000000003,1.459,0.0408219735679356,0.20309243141644986,0.030067320519676435
0.5500000000000003,1.465,0.04112564981975897,0.20444035457605786,0.030304892811487533
0.5600000000000003,1.478,0.0417184734155136,0.2066922898039079,0.030702634545159195
0.5700000000000003,1.492,0.04247027420129412,0.21020779276786292,0.03132563117677613
0.5800000000000003,1.503,0.042834253875241535,0.21070788119923384,0.03141445894576442
0.5900000000000003,1.507,0.0431909276201905,0.21309579846141594,0.031839311285062365
0.6000000000000003,1.521,0.04388188041460794,0.2159376444007001,0.03234642864542768
0.6100000000000003,1.537,0.04436550448085419,0.21615209139639072,0.03238476196106275
0.6200000000000003,1.546,0.04502324723017903,0.22002446743170626,0.033078551045390106
