Time,MeanNumber,CV2Number,MeanSize,VarSize
0.0,1.0,0.0,1.0,0.0
0.025,1.0173286795139986,0.016453230244991332,1.0086639023544617,0.0
0.05,1.034960259010448,0.032067718027918524,1.017273794418012,4.54807054566083e-06
0.07500000000000001,1.0529000330877796,0.04687634235234705,1.0258256695702495,1.4191583953162477e-05
0.1,1.0711533888923745,0.06091081176878895,1.0343154841985156,2.951696447536884e-05
0.125,1.0897258077362746,0.07420170394494213,1.042739161449616,5.115147632432701e-05
0.15,1.1086228667430995,0.086778503950046,1.0510925951802996,7.976503256729414e-05
0.175,1.127850240522645,0.09866964129323233,1.059371654107003,0.00011607201952575036
0.19999999999999998,1.1474137028746343,0.10990252575458936,1.067572186154838,0.00016083313071002663
0.22499999999999998,1.167319128522103,0.12050358204652895,1.0756900230052233,0.00021485720369697134
0.24999999999999997,1.1875724948748965,0.13049828334193803,1.0837209848409672,0.0002790030527054437
0.27499999999999997,1.2081798838237658,0.1399111837045304,1.0916608852869578,0.00035418128894556167
0.3,1.229147483565542,0.1487659494557634,1.0995055365439503,0.0004413561201141697
0.325,1.2504815904598778,0.15708538951166393,1.1072507547122392,0.000541547119682867
0.35000000000000003,1.2721886109180363,0.16489148472192983,1.1148923653012532,0.0006558309558784478
0.37500000000000006,1.2942750633242097,0.1722054162426875,1.1224262089203472,0.0007853430694917236
0.4000000000000001,1.3167475799898465,0.1790475929733696,1.1298481471452624,0.0009312792888723633
0.4250000000000001,1.339612909141456,0.18543767808724446,1.1371540685538886,0.0010948973696787972
0.4500000000000001,1.3628779169423595,0.19139461468425353,1.1443398949241086,0.0012775184461570987
0.47500000000000014,1.386549589548841,0.19693665059394205,1.1514015875856176,0.001480528379926502
0.5000000000000001,1.4106350352011456,0.20208136235542531,1.1583351539166937,0.0017053789914567485
0.5250000000000001,1.4351414863497518,0.20684567840052415,1.1651366539759767,0.0019535891586399618
0.5500000000000002,1.4600763018173375,0.21124590146539854,1.1718022072583496,0.0022267457660940138
0.5750000000000002,1.4854469689968322,0.21529773025524096,1.1783279995630642,0.0025265044880923237
0.6000000000000002,1.5112611060859231,0.21901628038584173,1.1847102899612634,0.0028545903873046377
0.6250000000000002,1.5375264643583666,0.22241610462510397,1.1909454178490786,0.003212798310863679
0.6500000000000002,1.5642509304724102,0.22551121245688088,1.1970298100714878,0.0036029930646518387
0.6750000000000003,1.591442528816611,0.22831508898881406,1.2029599881011284,0.004027109346141403
0.7000000000000003,1.6191094238932737,0.23084071322519958,1.2087325752552842,0.004487151415630369
0.7250000000000003,1.6472599227397127,0.23310057572522846,1.2143443039332917,0.004985192485306263
0.7500000000000003,1.6759024773874571,0.23510669566635525,1.2197920228556534,0.005523373805252816
0.7750000000000004,1.7050456873594886,0.23687063733190467,1.225072704285219,0.00610390342530243
0.8000000000000004,1.7346983022055096,0.23840352604145293,1.2301834512098926,0.006729054611542956
0.8250000000000004,1.7648692240751789,0.23971606354193678,1.235121504465451,0.007401163896323982
0.8500000000000004,1.7955675103291593,0.24081854287688362,1.2398842497762423,0.00812262874078948
0.8750000000000004,1.8268023761877272,0.2417208627506246,1.2444692246907474,0.008895904789303006
0.9000000000000005,1.8585831974165956,0.24243254140380768,1.248874125388281,0.009723502695644757
0.9250000000000005,1.8909195130494703,0.24296273001604496,1.2530968133324463,0.010607984501557814
0.9500000000000005,1.923821028146743,0.2433202256510142,1.2571353217463814,0.011551959549120399
0.9750000000000005,1.9572976165895737,0.24351348375886583,1.2609878618843284,0.01255807990953494
1.0000000000000004,1.991359323908449,0.24355063025033044,1.2646528290736567,0.013629035312264245
1.0250000000000004,2.0260163701451464,0.24343947315645825,1.2681288085011406,0.014767547560027013
1.0500000000000003,2.06127915274681,0.24318751388750762,1.271414580717095,0.015976364416996767
1.0750000000000002,2.0971582494906644,0.24280195810406774,1.2745091268308604,0.017258252959642482
1.1,2.1336644214376306,0.24228972621309805,1.277411633371174,0.018615992382018817
1.125,2.1708086159128643,0.2416574635011905,1.2801214967850811,0.02005236624995691
1.15,2.2086019695109593,0.24091154991694744,1.282638327549358,0.021570154201542843
1.1749999999999998,2.2470558111232384,0.24005810951404893,1.2849619538688337,0.023172123094491952
1.1999999999999997,2.2861816649842277,0.23910301956619645,1.2870924249365658,0.024861017604541808
1.2249999999999996,2.325991253734051,0.2380519193647818,1.289030013731583,0.026639550282792072
1.2499999999999996,2.3664965014930575,0.23691021870983658,1.290775219330772,0.028510391084009344
1.2749999999999995,2.4077095369446,0.23568310610444337,1.2923287687125629,0.030476156382286488
1.2999999999999994,2.4496426964213738,0.23437555666254903,1.2936916180312883,0.032539397495083375
1.3249999999999993,2.4923085269902407,0.23299233973977054,1.2948649533424832,0.03470258874156584
1.3499999999999992,2.5357197895299053,0.23153802629654718,1.2958501907609725,0.036968115066287006
1.3749999999999991,2.579889461795201,0.2300169960026881,1.296648976035328,0.03933825926458645
1.399999999999999,2.624830741461121,0.22843344409211483,1.2972631835242003,0.04181518885160352
1.424999999999999,2.670557049139006,0.2267913879763654,1.297694914562116,0.044400942622463566
1.4499999999999988,2.7170820313565685,0.22509467362514754,1.2979464952045872,0.04709741695697518
1.4749999999999988,2.7644195634926194,0.22334698172204148,1.298020473344801,0.04990635192801785
1.4999999999999987,2.8125837526565,0.22155183360317873,1.297919615196734,0.05282931727866301
1.5249999999999986,2.86158894050127,0.2197125969865699,1.2976469011422516,0.05586769833889844
1.5499999999999985,2.911449705958733,0.21783249149950207,1.2972055209426339,0.05902268195855759
