Time,MeanSize,ErrorMean,VarSize,ErrorVar
0.0,,,,
0.01,1.0039346833800005,0.00241402049609718,,
0.02,1.0068617636400004,0.003698153345754518,,
0.03,1.0108020085999994,0.004437320331988737,,
0.04,1.0137202362400002,0.0052652038927814004,,
0.05,1.0176654163599996,0.005824268126991106,,
0.06,1.020921467626667,0.006477832258502403,1.509353973294969e-05,2.9618678813232248e-05
0.07,1.0252232907999996,0.006941535520123887,3.0608475229728395e-05,4.2450597189569235e-05
0.08,1.028654722593333,0.007459098630785199,3.1035753802373376e-05,4.304318569451605e-05
0.09,1.033148654726667,0.00782689112328594,3.146899548606739e-05,4.364404438029477e-05
0.0999999999999999,1.0365835647366661,0.008300641310586387,3.19082862969287e-05,4.425329254182491e-05
0.1099999999999999,1.0389370523733328,0.008862647766533671,3.235371094481938e-05,4.4871047662391935e-05
0.1199999999999999,1.04217873075,0.00933740679978512,4.920802551957605e-05,5.5694810014264165e-05
0.1299999999999999,1.04778621776,0.009554475614702795,4.9894944086997584e-05,5.64722807358356e-05
0.1399999999999999,1.05397224728,0.009721109775296721,5.059145389509227e-05,5.726060705101102e-05
0.15,1.05686492064,0.010177572008471136,5.129768462281126e-05,5.805993573350199e-05
0.16,1.05974685227,0.010693508407327634,0.0001040275498250721,8.312999844941938e-05
0.17,1.0626177343600003,0.011191228232187989,0.00015821957292748881,0.00010307838753436632
0.18,1.0669878098500003,0.011516868858828522,0.00017825359521720199,0.00011011531640489852
0.19,1.0715573876533335,0.011801264775698428,0.0001807419256761442,0.00011165247079144823
0.2,1.0770961534366668,0.012040554889796828,0.00020159148812407758,0.00011867680062493206
0.21,1.0776478210699998,0.012586784938710238,0.00020440559019897273,0.00012033346100275003
0.22,1.0800962818200004,0.013035938467504726,0.00024494243687879947,0.00013250820477790865
0.23,1.0815492957066668,0.013508201871847758,0.00026746645130555115,0.00013935918281365162
0.24,1.0869069114733334,0.01376914181248523,0.0003099430257187044,0.0001509076520564811
0.25,1.090106526666667,0.01412719016705899,0.0003339115383666362,0.00015764331557868976
0.26,1.09349763294,0.014447989317453835,0.00033857275297121135,0.00015984392634070006
0.2700000000000001,1.0970841565533331,0.01479655491013454,0.0003836871744482772,0.00017116967309110216
0.2800000000000001,1.1008700245333334,0.01511030355819698,0.000409519224060615,0.0001779771178102178
0.2900000000000001,1.10017247862,0.01564791474641325,0.00045675949436286845,0.0001890764790207253
0.3000000000000001,1.10392615518,0.01595023946051599,0.0004841872574900973,0.00019592441351927876
0.3100000000000001,1.1072655939633338,0.016307844155684093,0.0005549827223155218,0.00021089394126235362
0.3200000000000001,1.1112222436666668,0.016576007530631154,0.0005627299481423642,0.0002138378941509328
0.3300000000000001,1.1141328512266664,0.016923611759058987,0.0006144766008031624,0.00022477670583999094
0.3400000000000001,1.1197726643333334,0.017202931046914838,0.0007120621201971379,0.00024314895553045174
